Taxonomy	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Thiotrichales|f__Thiotrichaceae|g__Thiothrix|s__Thiothrix_subterranea	31	39	12	43	26	0	6	0	1	2	0	0	17	80	76	47	79	112
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Thiotrichales|f__Thiotrichaceae|g__Thiothrix|s__Thiothrix_unzii	9	5	2	3	1	6	0	0	2	4	2	0	3	120	1	11	1	6
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Thiotrichales|f__Thiotrichaceae|g__Thiothrix|s__Thiothrix_winogradskyi	42	2	9	7	9	11	2	1	9	34	0	0	8	41	20	11	29	8
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Aliivibrio|s__Aliivibrio_fischeri	32	24	48	37	69	3	18	0	0	368	0	1	50	28	20	130	58	36
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Aliivibrio|s__Aliivibrio_salmonicida	15	32	10	3	11	2	14	1	22	6	2	12	45	17	64	17	10	103
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Candidatus_Photodesmus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Candidatus_Photodesmus|s__Candidatus_Photodesmus_katoptron	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Enterovibrio|s__Candidatus_Enterovibrio_escacola	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Enterovibrio|s__Candidatus_Enterovibrio_luxaltus	3	5	4	2	19	0	5	0	6	0	1	3	5	9	4	12	3	3
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Grimontia|s__Grimontia_hollisae	62	121	33	130	28	4	92	3	9	154	5	6	31	36	133	56	32	70
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Grimontia|s__Grimontia_sp._020920N	34	3	7	82	43	1	17	4	0	14	6	0	61	93	24	22	25	33
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Paraphotobacterium|s__Paraphotobacterium_marinum	56	6	42	41	24	2	3	0	0	2	0	32	33	32	89	8	33	17
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_atrarenae	31	72	5	25	51	4	4	2	3	66	0	6	20	21	34	72	18	148
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_damselae	49	81	46	29	30	3	14	13	420	94	6	21	81	67	89	52	12	66
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_gaetbulicola	42	161	146	52	88	72	1	1	11	1	4	2	34	12	50	19	218	17
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_ganghwense	7	5	1	11	3	0	0	1	6	19	1	3	5	35	6	1	0	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_phosphoreum	17	20	9	5	16	1	7	1	0	0	1	0	85	14	48	83	38	38
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_profundum	9	7	9	2	15	0	9	5	6	0	4	25	59	20	43	66	16	7
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_sanguinicancri	4	7	7	8	11	1	8	0	16	18	3	7	23	13	19	2	23	2
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_sp._CCB-ST2H9	9	13	15	18	25	1	90	3	18	11	2	15	59	29	74	27	50	41
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_sp._DA100	15	9	0	14	14	3	11	0	0	2	6	2	35	33	27	16	15	21
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_sp._GJ3	49	4	33	131	25	0	45	2	10	8	1	5	132	310	36	54	62	96
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_sp._GSS17	0	0	1	4	4	0	0	0	0	0	0	2	1	3	1	0	2	4
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_sp._TLY01	13	13	37	20	34	1	12	0	10	54	3	1	73	26	53	129	61	103
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_sp._TY1-4	32	24	9	15	27	12	11	2	21	27	0	1	44	108	23	31	9	21
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_swingsii	54	27	3	57	15	1	3	0	1	2	0	1	25	49	30	122	68	23
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Photobacterium|s__Photobacterium_toruni	20	6	3	61	11	10	1	1	6	6	0	3	21	73	44	88	47	38
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Salinivibrio|s__Salinivibrio_costicola	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	2	7	3
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Salinivibrio|s__Salinivibrio_kushneri	35	14	19	24	100	15	15	1	8	30	12	34	127	171	347	40	26	26
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Salinivibrio|s__Salinivibrio_proteolyticus	5	0	1	13	5	9	0	0	0	0	0	1	9	5	0	3	0	14
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Salinivibrio|s__Salinivibrio_sp._YCSC6	1	2	18	10	1	2	1	0	0	0	5	1	2	1	3	16	1	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Thaumasiovibrio|s__Thaumasiovibrio_subtropicus	2	15	17	9	49	8	29	0	7	1	5	4	207	32	112	59	11	50
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_aerogenes	52	7	54	41	28	7	0	3	3	8	3	1	22	87	19	68	31	17
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_aestuarianus	27	5	17	36	32	0	4	1	2	0	0	26	8	31	103	14	37	146
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_alfacsensis	13	6	19	16	102	5	1	1	2	15	3	1	32	20	23	53	9	15
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_algicola	22	17	8	3	27	14	0	15	1	0	0	0	7	22	21	1	8	12
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_alginolyticus	4	4	5	38	11	6	6	15	17	2	10	2	53	13	14	21	20	14
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_anguillarum	12	1	79	7	5	0	0	0	1	3	2	4	53	14	5	11	28	4
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_antiquarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_aphrogenes	12	0	18	3	27	5	0	1	1	1	4	5	3	33	21	0	6	19
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_aquimaris	17	2	23	2	14	3	5	2	1	81	0	1	44	51	52	30	19	9
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_artabrorum	5	12	30	5	0	0	1	1	3	0	1	14	90	50	32	34	30	55
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_astriarenae	14	3	1	25	32	3	3	0	1	0	7	1	23	60	3	8	23	7
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_atlanticus	6	1	0	62	16	2	14	0	2	0	1	1	38	19	16	31	4	38
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_azureus	22	7	23	25	53	3	16	0	10	2	0	8	99	24	24	25	3	22
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_bathopelagicus	2	4	3	1	12	1	46	0	7	24	0	15	5	13	15	20	3	2
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_breoganii	9	6	8	17	17	4	51	0	7	2	2	4	35	75	70	42	10	65
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_campbellii	20	17	54	28	61	1	95	2	21	8	6	17	67	39	82	66	65	38
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_casei	8	7	32	44	7	2	24	0	1	1	0	2	35	5	27	35	17	61
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_celticus	0	0	1	1	31	0	0	0	3	1	0	0	0	17	2	0	1	4
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_chagasii	48	8	8	27	22	0	1	2	3	0	0	0	6	40	79	19	28	138
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_cholerae	35	11	54	21	103	11	35	19	57	49	21	79	58	63	59	21	9522	121
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_cidicii	6	1	5	6	7	7	0	0	1	0	1	5	7	22	7	11	9	2
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_cincinnatiensis	24	11	8	26	71	18	13	0	1	62	15	2	14	85	40	21	8	33
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_coralliilyticus	29	4	14	6	118	2	12	0	1	4	1	3	19	46	55	13	83	66
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_coralliirubri	3	0	16	5	1	1	1	0	2	1	0	0	2	4	2	2	5	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_cortegadensis	1	2	5	12	5	1	2	0	3	20	0	6	38	17	68	43	22	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_crassostreae	24	2	12	31	5	2	2	0	5	0	1	0	17	6	17	5	10	27
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_cyclitrophicus	13	13	23	17	57	7	56	0	7	0	1	7	21	5	7	31	50	33
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_diabolicus	4	0	15	11	1	0	8	0	1	0	0	0	8	25	33	14	96	21
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_echinoideorum	6	11	17	4	1	0	2	0	3	3	0	0	7	6	19	1	23	12
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_europaeus	2	0	2	0	8	0	1	2	4	25	4	3	15	139	15	3	1	50
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_fluvialis	52	39	57	54	81	3	15	13	2	2	1	2	87	60	298	56	113	119
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_fortis	4	2	3	7	25	0	0	0	9	17	0	0	17	7	14	20	16	2
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_furnissii	22	20	35	108	33	11	10	4	4	698	12	50	378	82	81	37	17	32
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_gallaecicus	22	20	4	12	12	1	32	10	4	22	0	5	13	20	22	60	3	13
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_gallicus	11	0	11	2	2	7	0	11	1	2	0	5	52	20	28	12	42	9
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_gangliei	12	1	11	26	4	0	1	3	8	0	4	1	12	52	7	6	18	34
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_gazogenes	56	6	11	20	104	7	2	1	3	2	3	2	46	53	30	49	21	30
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_gigantis	0	0	10	1	4	1	7	0	11	1	0	0	54	4	27	0	9	19
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_harveyi	36	7	10	4	15	2	17	23	39	14	13	6	73	42	26	20	30	8
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_hyugaensis	1	3	3	2	1	0	0	0	3	0	0	0	3	13	13	11	2	2
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_ishigakensis	8	3	38	72	17	7	3	0	0	34	4	1	27	26	33	22	34	38
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_japonicus	10	25	35	4	116	7	5	2	10	1	0	18	42	22	9	21	7	31
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_jasicida	1	0	0	0	0	1	29	0	0	1	0	0	1	0	0	1	2	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_kanaloae	2	5	9	0	8	1	0	0	22	0	0	28	18	117	97	16	5	21
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_lentus	9	10	7	10	0	1	0	1	0	0	0	0	7	29	33	23	3	3
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_mangrovi	32	19	23	12	16	3	28	1	15	316	2	4	56	62	104	237	37	55
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_maritimus	11	1	4	3	2	0	1	0	7	302	0	0	66	9	5	78	0	6
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_mediterranei	8	1	8	6	16	0	0	0	2	52	1	1	16	12	11	10	8	33
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_metoecus	5	4	4	2	9	1	16	0	0	0	0	6	8	10	16	9	12	5
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_metschnikovii	16	2	5	13	12	20	11	0	25	1	3	7	21	3	8	30	43	26
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_mimicus	43	15	44	31	32	5	4	3	20	6	1	3	131	43	40	50	54	68
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_natriegens	15	7	1	10	34	3	15	0	1	35	0	4	13	59	13	15	12	19
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_navarrensis	12	8	13	9	9	1	4	3	4	21	2	0	21	34	52	13	20	32
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_neonatus	12	9	3	13	40	0	4	1	2	26	0	0	20	25	124	9	62	64
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_neptunius	12	15	27	3	5	6	11	4	17	0	0	3	48	20	23	21	13	19
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_nigripulchritudo	45	9	6	6	9	6	7	2	10	33	6	4	19	28	11	26	27	27
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_ostreae	5	2	11	3	15	0	1	5	9	4	2	3	16	5	9	10	19	11
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_owensii	12	22	8	10	8	2	6	0	2	50	6	0	18	6	9	83	9	16
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_palustris	20	27	14	5	41	6	3	3	3	24	0	0	56	30	20	27	63	20
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_panuliri	10	5	10	2	22	0	0	0	0	151	0	2	78	4	5	14	0	7
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_paracholerae	0	0	0	8	0	0	0	0	3	1	0	0	0	2	0	10	20	4
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_parahaemolyticus	115	37	56	76	211	37	136	11	106	42	10	23	101	172	126	167	80	71
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_pelagius	25	17	12	11	32	4	13	1	1	0	2	8	10	146	162	29	11	68
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_penaeicida	21	4	0	47	74	1	38	8	20	61	9	11	96	25	45	40	45	27
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_plantisponsor	30	9	8	18	45	1	1	9	4	0	0	2	22	6	20	80	83	17
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_pomeroyi	2	0	1	2	27	0	0	2	1	1	0	0	18	5	33	0	2	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_ponticus	20	4	18	12	11	1	7	0	9	5	1	1	56	82	118	20	10	14
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_porteresiae	28	8	20	53	23	5	0	0	0	7	0	1	12	11	21	23	15	20
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_qinghaiensis	4	0	2	0	0	0	0	0	0	0	0	0	6	17	0	1	4	2
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_quintilis	30	22	12	30	35	2	71	3	29	605	0	3	35	53	379	52	152	99
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_rarus	18	51	77	84	29	2	1	0	5	0	1	0	56	40	179	15	338	32
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_rhizosphaerae	18	10	14	1	18	14	9	0	2	4	0	7	48	38	56	52	13	11
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_rotiferianus	5	4	2	5	26	0	0	3	0	20	2	0	7	6	5	4	13	5
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_ruber	49	13	8	55	22	15	12	0	1	2	6	3	48	41	151	35	67	44
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_rumoiensis	25	6	2	6	2	7	11	0	7	0	6	0	23	18	40	11	34	51
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_scophthalmi	30	34	4	21	23	0	1	2	0	13	0	14	80	53	137	17	316	134
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sinaloensis	10	9	5	28	33	0	10	0	1	8	0	9	20	46	118	20	1	24
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._ABG19	2	0	2	1	0	22	0	0	0	0	0	0	0	1	36	16	1	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._B1ASS3	28	0	24	24	17	0	1	0	8	0	0	0	24	20	4	14	4	16
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._B1FIG11	14	10	8	3	11	1	0	0	5	0	0	0	0	0	1	1	2	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._B1FLJ16	6	18	130	30	19	6	4	1	3	2	2	1	7	22	23	46	32	27
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._B1REV9	21	0	3	12	9	0	6	2	7	3	4	1	8	11	73	16	45	7
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._DW001	7	4	4	3	118	5	1	3	1	176	7	2	48	12	10	7	6	1
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._ED002	1	0	0	0	5	0	1	1	5	0	3	0	0	0	0	0	3	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._ED004	5	7	2	0	0	1	0	1	0	0	0	0	55	6	0	0	0	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._EJY3	0	0	0	0	0	4	0	1	0	1	0	2	1	0	0	0	0	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._HDW18	4	15	2	1	40	0	0	0	0	37	0	0	4	2	4	91	78	16
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._J383	0	2	19	15	0	0	0	0	0	0	0	0	0	2	4	11	0	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._JC009	45	62	132	39	27	3	5	3	24	3	9	10	213	135	259	80	334	162
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._LQ2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._SCSIO_43132	5	27	15	8	10	4	1	2	4	2	0	3	1	33	6	2	3	7
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae|g__Vibrio|s__Vibrio_sp._SCSIO_43133	0	0	3	27	6	0	5	0	0	0	3	0	35	3	19	10	1	6
